Wavelength (nm),Colloid solution,1 drop of NaCl,2 drops of NaCl,3 drops of NaCl,4 drops of NaCl,5 drops of NaCl
547.5,2.521,2.496,2.412,2.129,1.64,1.348
548,2.506,2.483,2.397,2.12,1.638,1.347
548.5,2.495,2.466,2.384,2.113,1.636,1.347
549,2.482,2.452,2.37,2.104,1.634,1.346
549.5,2.47,2.437,2.356,2.097,1.632,1.346
550,2.455,2.42,2.341,2.089,1.63,1.345
550.5,2.441,2.405,2.327,2.081,1.628,1.345
551,2.424,2.389,2.311,2.073,1.626,1.344
551.5,2.41,2.372,2.297,2.065,1.623,1.344
552,2.395,2.356,2.281,2.057,1.621,1.343
552.5,2.379,2.339,2.266,2.049,1.619,1.343
553,2.362,2.322,2.251,2.042,1.617,1.342
553.5,2.342,2.303,2.236,2.034,1.615,1.342
554,2.326,2.287,2.22,2.027,1.613,1.341
554.5,2.308,2.269,2.204,2.019,1.611,1.341
555,2.288,2.248,2.189,2.01,1.609,1.34
555.5,2.269,2.23,2.173,2.002,1.606,1.34
556,2.248,2.21,2.157,1.994,1.604,1.339
556.5,2.228,2.192,2.141,1.987,1.602,1.339
557,2.21,2.174,2.125,1.979,1.6,1.338
557.5,2.188,2.156,2.11,1.972,1.598,1.338
558,2.168,2.137,2.094,1.965,1.596,1.337
558.5,2.147,2.116,2.078,1.956,1.594,1.337
559,2.125,2.097,2.062,1.949,1.592,1.336
559.5,2.104,2.077,2.045,1.942,1.59,1.336
560,2.082,2.057,2.03,1.934,1.588,1.335
560.5,2.06,2.039,2.015,1.927,1.586,1.335
561,2.037,2.018,1.998,1.92,1.584,1.334
561.5,2.015,1.998,1.983,1.913,1.583,1.334
562,1.992,1.978,1.966,1.905,1.58,1.333
562.5,1.969,1.958,1.95,1.898,1.579,1.333
563,1.947,1.938,1.935,1.891,1.577,1.333
563.5,1.923,1.918,1.919,1.885,1.575,1.332
564,1.901,1.899,1.903,1.878,1.573,1.332
564.5,1.878,1.879,1.887,1.871,1.572,1.331
565,1.856,1.859,1.872,1.864,1.57,1.331
565.5,1.833,1.84,1.857,1.857,1.568,1.33
566,1.81,1.82,1.842,1.851,1.567,1.33
566.5,1.787,1.801,1.826,1.845,1.565,1.33
567,1.766,1.782,1.812,1.839,1.564,1.329
567.5,1.742,1.763,1.796,1.832,1.562,1.329
568,1.721,1.744,1.782,1.827,1.561,1.329
568.5,1.698,1.725,1.768,1.821,1.559,1.329
569,1.677,1.707,1.753,1.815,1.558,1.328
569.5,1.656,1.69,1.739,1.809,1.556,1.328
570,1.634,1.671,1.725,1.803,1.555,1.328
570.5,1.613,1.653,1.712,1.798,1.554,1.327
571,1.592,1.636,1.698,1.793,1.552,1.327
571.5,1.572,1.618,1.685,1.788,1.551,1.327
572,1.552,1.602,1.672,1.783,1.55,1.326
572.5,1.533,1.586,1.66,1.778,1.549,1.326
573,1.515,1.571,1.648,1.773,1.548,1.326
573.5,1.496,1.555,1.636,1.769,1.547,1.326
574,1.476,1.538,1.623,1.764,1.546,1.326
574.5,1.457,1.522,1.612,1.76,1.545,1.326
575,1.437,1.506,1.599,1.755,1.544,1.326
575.5,1.419,1.49,1.587,1.751,1.543,1.326
576,1.4,1.475,1.575,1.746,1.542,1.326
576.5,1.381,1.459,1.563,1.742,1.541,1.325
577,1.363,1.444,1.552,1.738,1.541,1.325
577.5,1.345,1.429,1.54,1.734,1.54,1.325
578,1.328,1.415,1.529,1.73,1.539,1.325
578.5,1.311,1.401,1.519,1.726,1.538,1.326
579,1.294,1.387,1.508,1.723,1.538,1.325
579.5,1.277,1.372,1.497,1.719,1.537,1.325
580,1.26,1.358,1.486,1.715,1.537,1.325
580.5,1.244,1.344,1.476,1.712,1.536,1.326
581,1.227,1.331,1.466,1.708,1.535,1.326
581.5,1.212,1.318,1.456,1.705,1.535,1.326
582,1.196,1.305,1.446,1.702,1.534,1.326
582.5,1.181,1.292,1.436,1.699,1.534,1.326
583,1.165,1.279,1.427,1.696,1.534,1.326
583.5,1.15,1.266,1.417,1.693,1.533,1.326
584,1.134,1.254,1.407,1.69,1.533,1.326
584.5,1.119,1.241,1.398,1.687,1.532,1.326
585,1.105,1.229,1.389,1.684,1.532,1.327
585.5,1.09,1.217,1.38,1.681,1.532,1.327
586,1.076,1.205,1.371,1.679,1.531,1.327
586.5,1.061,1.193,1.362,1.676,1.531,1.327
587,1.047,1.181,1.353,1.673,1.531,1.327
587.5,1.032,1.169,1.344,1.67,1.53,1.328
588,1.019,1.158,1.335,1.668,1.53,1.328
588.5,1.006,1.147,1.327,1.665,1.53,1.328
589,0.993,1.136,1.319,1.663,1.53,1.329
589.5,0.98,1.125,1.311,1.661,1.529,1.329
590,0.967,1.115,1.303,1.659,1.529,1.329
590.5,0.955,1.105,1.296,1.657,1.529,1.33
591,0.943,1.095,1.288,1.655,1.529,1.33
591.5,0.932,1.086,1.281,1.652,1.529,1.33
592,0.92,1.076,1.274,1.65,1.529,1.33
592.5,0.908,1.066,1.267,1.649,1.529,1.331
593,0.896,1.056,1.259,1.646,1.529,1.331
593.5,0.884,1.046,1.252,1.645,1.529,1.332
594,0.873,1.037,1.245,1.643,1.529,1.332
594.5,0.862,1.028,1.238,1.641,1.529,1.332
595,0.85,1.018,1.231,1.639,1.529,1.333
595.5,0.839,1.009,1.224,1.637,1.529,1.333
596,0.829,1,1.218,1.635,1.529,1.334
596.5,0.818,0.992,1.211,1.634,1.529,1.334
597,0.808,0.983,1.205,1.632,1.529,1.334
597.5,0.798,0.975,1.199,1.631,1.529,1.335
598,0.788,0.966,1.193,1.629,1.53,1.335
598.5,0.779,0.959,1.187,1.628,1.53,1.336
599,0.77,0.951,1.181,1.626,1.53,1.336
599.5,0.76,0.944,1.176,1.625,1.53,1.337
600,0.751,0.935,1.17,1.623,1.53,1.337
600.5,0.742,0.928,1.164,1.622,1.53,1.338
601,0.733,0.921,1.159,1.62,1.531,1.339
601.5,0.724,0.914,1.153,1.619,1.531,1.339
602,0.716,0.907,1.148,1.617,1.531,1.339
602.5,0.707,0.9,1.143,1.616,1.531,1.34
603,0.699,0.893,1.138,1.614,1.531,1.34
603.5,0.691,0.886,1.132,1.613,1.532,1.341
604,0.683,0.879,1.127,1.612,1.532,1.342
604.5,0.674,0.872,1.122,1.61,1.532,1.342
605,0.667,0.866,1.118,1.609,1.532,1.343
605.5,0.659,0.859,1.113,1.608,1.533,1.343
606,0.651,0.853,1.108,1.606,1.533,1.344
606.5,0.644,0.847,1.103,1.605,1.533,1.344
