Test Name,Test Mode,Test Type,Control,Test Speed 1,Test Speed 2,Test Speed 3,Change Point 1,Change Point 2,Disp. Origin,Break and Limit Action,Sensitivity:,Level:
,Single,Tensile,Stroke,10,1,1,Off,Off,Start,Stop,50,5
,,,,,,,,,,,,
Title,Sub title,Comment,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Shape:,Batch Size:,SubBatch Size:,,,,,,,,,,
Plate,1,1,,,,,,,,,,
Name:,Thickness,Width,Gauge Length,,,,,,,,,
Size Unit:,mm,mm,mm,,,,,,,,,
 Carbon Fiber,1.61,11.22,60,,,,,,,,,
,,,,,,,,,,,,
Name,Max_Force,,,,,,,,,,,
Parameter,,,,,,,,,,,,
Units,kN,,,,,,,,,,,
 Carbon Fiber,6.26906,,,,,,,,,,,
,,,,,,,,,,,,
 1- 1,,,,,,,,,,,,
Time,Force,Stroke,,,,,,,,,,
sec,kN,mm,,,,,,,,,,
21.35,5.03625,3.545,,,,,,,,,,
21.4,5.05,3.553,,,,,,,,,,
21.45,5.064688,3.561,,,,,,,,,,
21.5,5.079375,3.57,,,,,,,,,,
21.55,5.093125,3.578,,,,,,,,,,
21.6,5.109063,3.587,,,,,,,,,,
21.65,5.124063,3.595,,,,,,,,,,
21.7,5.138437,3.603,,,,,,,,,,
21.75,5.152812,3.611,,,,,,,,,,
21.8,5.167812,3.62,,,,,,,,,,
21.85,5.18375,3.628,,,,,,,,,,
21.9,5.196875,3.636,,,,,,,,,,
21.95,5.212187,3.645,,,,,,,,,,
22,5.225625,3.653,,,,,,,,,,
22.05,5.240313,3.661,,,,,,,,,,
22.1,5.255625,3.67,,,,,,,,,,
22.15,5.270625,3.678,,,,,,,,,,
22.2,5.287188,3.687,,,,,,,,,,
22.25,5.300625,3.695,,,,,,,,,,
22.3,5.315312,3.703,,,,,,,,,,
22.35,5.33,3.712,,,,,,,,,,
22.4,5.344687,3.72,,,,,,,,,,
22.45,5.36,3.728,,,,,,,,,,
22.5,5.374688,3.736,,,,,,,,,,
22.55,5.38875,3.745,,,,,,,,,,
22.6,5.404687,3.753,,,,,,,,,,
22.65,5.419063,3.761,,,,,,,,,,
22.7,5.434375,3.77,,,,,,,,,,
22.75,5.44875,3.778,,,,,,,,,,
22.8,5.463125,3.786,,,,,,,,,,
22.85,5.478125,3.795,,,,,,,,,,
22.9,5.492813,3.803,,,,,,,,,,
22.95,5.507187,3.811,,,,,,,,,,
23,5.523438,3.82,,,,,,,,,,
23.05,5.537813,3.828,,,,,,,,,,
23.1,5.553125,3.836,,,,,,,,,,
23.15,5.568125,3.845,,,,,,,,,,
23.2,5.5825,3.853,,,,,,,,,,
23.25,5.599375,3.861,,,,,,,,,,
23.3,5.613125,3.87,,,,,,,,,,
23.35,5.628438,3.878,,,,,,,,,,
23.4,5.643125,3.886,,,,,,,,,,
23.45,5.658125,3.895,,,,,,,,,,
23.5,5.672812,3.903,,,,,,,,,,
23.55,5.687188,3.911,,,,,,,,,,
23.6,5.701875,3.92,,,,,,,,,,
23.65,5.717187,3.928,,,,,,,,,,
23.7,5.731563,3.936,,,,,,,,,,
23.75,5.747188,3.945,,,,,,,,,,
23.8,5.762187,3.953,,,,,,,,,,
23.85,5.776875,3.961,,,,,,,,,,
23.9,5.793125,3.97,,,,,,,,,,
23.95,5.807813,3.978,,,,,,,,,,
24,5.823438,3.986,,,,,,,,,,
24.05,5.839375,3.995,,,,,,,,,,
24.1,5.855312,4.003,,,,,,,,,,
24.15,5.87,4.011,,,,,,,,,,
24.2,5.885938,4.02,,,,,,,,,,
24.25,5.900625,4.028,,,,,,,,,,
24.3,5.915937,4.036,,,,,,,,,,
24.35,5.93125,4.045,,,,,,,,,,
24.4,5.947187,4.053,,,,,,,,,,
24.45,5.9625,4.061,,,,,,,,,,
24.5,5.97875,4.07,,,,,,,,,,
24.55,5.995313,4.078,,,,,,,,,,
