"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",50,5

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" Glass Fiber","1.1800","10.5800","60.0000",

"Name","Max_Force",
"Parameter",,
"Units","kN",
" Glass Fiber","2.07938",

" 1- 1"
"Time","Force","Stroke",
"sec","kN","mm",
"17.25",1.82,2.863,
"17.30",1.825938,2.871,
"17.35",1.831563,2.88,
"17.40",1.837656,2.888,
"17.45",1.84375,2.896,
"17.50",1.849687,2.905,
"17.55",1.855781,2.913,
"17.60",1.862031,2.921,
"17.65",1.866719,2.93,
"17.70",1.872969,2.938,
"17.75",1.878594,2.946,
"17.80",1.884688,2.955,
"17.85",1.890625,2.963,
"17.90",1.897344,2.971,
"17.95",1.902656,2.98,
"18.00",1.907656,2.988,
"18.05",1.914219,2.996,
"18.10",1.920156,3.005,
"18.15",1.92625,3.013,
"18.20",1.932344,3.021,
"18.25",1.938281,3.03,
"18.30",1.944531,3.038,
"18.35",1.950469,3.046,
"18.40",1.956094,3.055,
"18.45",1.962188,3.063,
"18.50",1.968438,3.071,
"18.55",1.97375,3.08,
"18.60",1.980781,3.088,
"18.65",1.985937,3.096,
"18.70",1.991719,3.105,
"18.75",1.996562,3.113,
"18.80",2.003125,3.121,
"18.85",2.008125,3.13,
"18.90",2.013906,3.138,
"18.95",2.019219,3.146,
"19.00",2.025,3.155,
"19.05",2.030313,3.163,
"19.10",2.036094,3.171,
"19.15",2.042031,3.18,
"19.20",2.047344,3.188,
"19.25",2.052813,3.196,
"19.30",2.058906,3.205,
"19.35",2.064219,3.213,
"19.40",2.069375,3.221,
"19.45",2.074531,3.23,
"19.50",2.07875,3.238,
"19.55",2.079375,3.246,
"19.55",2.079375,3.246,
"19.55",2.079375,3.246,

